Id,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
439,21.0,26.0,1.238095238095238,3,0,1,4,6,14.0,1,184,2.0,2.0,False
441,8.0,3.0,0.375,7,0,2,6,1,2.0,2,256,0.0,1.0,False
443,9.0,68.0,7.555555555555555,8,0,2,7,2,6.0,1,386,8.0,17.0,False
445,30.0,63.0,2.1,2,0,1,4,6,20.0,0,199,4.0,6.0,False
446,41.0,30.0,0.7317073170731707,9,0,3,3,4,16.0,0,325,2.0,0.0,False
447,9.0,6.0,0.6666666666666666,9,0,3,8,2,3.0,0,188,1.0,1.0,False
448,8.0,69.0,8.625,4,0,0,5,5,4.0,0,127,4.0,5.0,False
450,25.0,44.0,1.76,6,0,0,0,0,21.0,0,372,5.0,2.0,False
451,12.0,22.0,1.8333333333333333,3,0,0,2,6,6.0,0,269,2.0,2.0,False
452,6.0,68.0,11.333333333333334,12,0,3,2,2,5.0,1,425,8.0,1.0,False
453,55.0,38.0,0.6909090909090909,16,0,1,1,5,33.0,1,475,7.0,1.0,False
454,34.0,20.0,0.5882352941176471,2,0,1,2,6,14.0,1,297,1.0,2.0,False
456,36.0,30.0,0.8333333333333334,5,0,2,1,2,16.0,1,302,3.0,0.0,False
457,21.0,106.0,5.047619047619048,12,0,1,2,2,16.0,0,327,20.0,6.0,False
458,26.0,73.0,2.8076923076923075,7,0,2,3,1,18.0,0,177,6.0,0.0,False
459,40.0,77.0,1.925,5,0,1,2,5,26.0,1,147,5.0,7.0,False
460,6.0,11.0,1.8333333333333333,11,0,0,1,2,5.0,0,460,1.0,0.0,False
461,13.0,114.0,8.76923076923077,12,0,0,9,3,8.0,1,297,27.0,25.0,False
462,35.0,36.0,1.0285714285714285,4,0,0,2,3,21.0,0,312,4.0,0.0,False
464,9.0,98.0,10.88888888888889,2,0,1,4,5,6.0,0,138,10.0,9.0,False
465,38.0,8.0,0.2105263157894736,7,0,0,2,4,7.0,0,486,1.0,0.0,False
466,18.0,111.0,6.166666666666667,5,0,2,5,6,11.0,1,261,6.0,11.0,False
467,37.0,111.0,3.0,6,0,0,8,7,25.0,0,186,14.0,27.0,False
469,38.0,31.0,0.8157894736842105,3,0,1,2,2,16.0,0,377,2.0,1.0,False
471,17.0,125.0,7.352941176470588,10,3,0,1,3,15.0,0,436,24.0,7.0,False
472,18.0,105.0,5.833333333333333,2,0,2,4,6,9.0,0,289,10.0,8.0,False
473,55.0,55.0,1.0,4,0,0,1,5,29.0,1,275,3.0,6.0,False
474,10.0,49.0,4.9,3,0,0,9,5,4.0,1,155,0.0,25.0,True
475,41.0,25.0,0.6097560975609756,9,0,0,2,2,17.0,0,289,4.0,0.0,False
476,51.0,107.0,2.0980392156862746,9,0,0,1,4,45.0,0,367,21.0,0.0,False
477,29.0,62.0,2.1379310344827585,3,0,1,2,1,15.0,0,255,6.0,0.0,False
478,21.0,80.0,3.809523809523809,7,0,0,4,2,12.0,1,287,8.0,2.0,False
480,14.0,97.0,6.928571428571429,12,0,0,5,2,9.0,0,242,23.0,12.0,False
481,12.0,16.0,1.3333333333333333,10,0,2,2,2,9.0,0,292,3.0,1.0,False
482,19.0,21.0,1.105263157894737,3,0,0,8,9,3.0,2,104,0.0,11.0,True
483,48.0,2.0,0.0416666666666666,7,0,0,0,0,2.0,0,356,0.0,0.0,False
484,6.0,76.0,12.666666666666666,4,0,0,2,1,4.0,0,324,7.0,5.0,False
485,29.0,12.0,0.4137931034482758,3,0,0,3,6,7.0,0,124,1.0,1.0,False
486,32.0,97.0,3.03125,7,2,1,5,5,20.0,0,179,18.0,18.0,False
487,17.0,13.0,0.7647058823529411,9,0,0,0,0,11.0,0,325,2.0,0.0,False
489,17.0,123.0,7.235294117647059,3,0,1,4,1,10.0,2,398,18.0,12.0,False
490,24.0,105.0,4.375,10,0,0,9,3,17.0,1,263,14.0,21.0,False
491,30.0,106.0,3.533333333333333,6,0,0,6,6,20.0,0,277,19.0,23.0,False
492,40.0,28.0,0.7,8,0,4,9,7,18.0,1,336,1.0,5.0,False
493,2.0,41.0,20.5,6,0,0,1,4,1.0,0,297,5.0,4.0,False
494,13.0,11.0,0.8461538461538461,2,0,1,7,9,4.0,0,77,0.0,6.0,True
495,6.0,63.0,10.5,9,0,0,2,3,5.0,0,245,12.0,2.0,False
496,10.0,96.0,9.6,8,0,0,2,0,6.0,1,172,7.0,0.0,False
498,46.0,31.0,0.6739130434782609,6,0,0,5,5,16.0,1,355,4.0,6.0,False
499,48.0,29.0,0.6041666666666666,15,0,4,0,0,21.0,0,304,4.0,0.0,False
503,24.0,3.0,0.125,4,0,1,9,10,0.0,1,126,0.0,2.0,True
504,21.0,117.0,5.571428571428571,6,0,2,5,5,11.0,0,334,3.0,16.0,False
505,30.0,86.0,2.8666666666666667,4,0,0,1,1,17.0,0,268,9.0,5.0,False
506,21.0,65.0,3.095238095238096,9,0,3,3,1,12.0,1,233,5.0,2.0,False
508,28.0,109.0,3.892857142857143,7,1,1,2,5,20.0,1,261,13.0,10.0,False
509,18.0,61.0,3.388888888888889,4,0,0,10,9,3.0,1,59,0.0,37.0,True
511,28.0,56.0,2.0,7,0,0,2,1,17.0,0,363,8.0,1.0,False
515,9.0,0.0,0.0,5,0,1,3,4,0.0,0,266,0.0,0.0,False
517,61.0,112.0,1.836065573770492,11,0,0,6,7,31.0,2,248,11.0,9.0,False
519,14.0,57.0,4.071428571428571,13,0,0,5,2,7.0,1,365,16.0,13.0,False
521,28.0,40.0,1.4285714285714286,3,1,1,5,5,19.0,0,141,4.0,3.0,False
523,20.0,17.0,0.85,13,0,0,1,3,15.0,1,412,2.0,0.0,False
524,27.0,41.0,1.5185185185185186,3,0,1,3,2,16.0,1,357,5.0,7.0,False
525,22.0,75.0,3.409090909090909,2,0,1,4,5,15.0,1,134,4.0,7.0,False
526,32.0,66.0,2.0625,7,0,1,3,1,17.0,1,176,8.0,4.0,False
527,23.0,65.0,2.8260869565217392,6,0,0,2,6,17.0,0,240,10.0,0.0,False
528,42.0,10.0,0.238095238095238,6,0,0,0,0,9.0,0,260,1.0,0.0,False
531,20.0,7.0,0.35,1,0,0,10,9,2.0,2,94,0.0,4.0,True
532,3.0,61.0,20.33333333333333,4,0,2,0,1,0.0,0,153,0.0,34.0,True
533,6.0,76.0,12.666666666666666,3,0,0,3,0,4.0,2,294,8.0,0.0,False
534,22.0,92.0,4.181818181818182,5,0,1,8,3,13.0,0,215,0.0,21.0,False
535,7.0,34.0,4.857142857142857,3,1,0,7,8,2.0,0,57,0.0,24.0,True
539,1.0,22.0,22.0,8,0,0,0,2,1.0,0,387,2.0,5.0,False
540,7.0,21.0,3.0,2,0,1,7,4,2.0,1,74,0.0,11.0,True
542,26.0,94.0,3.615384615384616,5,0,0,2,4,21.0,0,322,13.0,6.0,False
543,2.0,9.0,4.5,1,0,0,1,1,1.0,1,216,1.0,1.0,False
544,19.0,5.0,0.2631578947368421,14,0,0,8,4,3.0,2,161,0.0,1.0,False
545,46.0,15.0,0.3260869565217391,9,0,1,1,6,12.0,0,423,3.0,0.0,False
546,9.0,45.0,5.0,2,0,1,8,6,1.0,1,198,0.0,23.0,True
547,45.0,53.0,1.1777777777777778,10,0,1,2,4,24.0,0,353,5.0,1.0,False
552,16.0,77.0,4.8125,11,0,1,8,3,9.0,0,261,17.0,12.0,False
553,6.0,10.0,1.6666666666666667,5,0,3,6,2,3.0,2,384,1.0,2.0,False
554,19.0,77.0,4.052631578947368,2,0,1,2,5,10.0,0,165,7.0,7.0,False
555,15.0,71.0,4.733333333333333,6,1,0,6,2,8.0,1,215,4.0,17.0,False
556,21.0,79.0,3.761904761904762,2,0,0,4,5,11.0,1,183,5.0,6.0,False
558,3.0,13.0,4.333333333333333,1,0,0,0,1,1.0,2,55,0.0,7.0,True
559,3.0,39.0,13.0,6,2,0,1,0,2.0,0,174,6.0,0.0,False
562,18.0,72.0,4.0,5,0,2,6,5,12.0,1,178,8.0,13.0,False
563,25.0,18.0,0.72,6,0,2,2,2,11.0,1,348,2.0,0.0,False
564,21.0,63.0,3.0,6,0,0,4,5,11.0,0,146,5.0,5.0,False
566,57.0,74.0,1.2982456140350878,9,0,2,4,8,30.0,0,296,6.0,6.0,False
567,31.0,58.0,1.870967741935484,11,0,0,2,6,28.0,0,448,8.0,0.0,False
568,15.0,59.0,3.933333333333333,3,0,1,5,6,9.0,1,148,3.0,6.0,False
569,36.0,56.0,1.5555555555555556,5,0,0,7,4,21.0,0,379,3.0,12.0,False
570,8.0,1.0,0.125,5,0,0,3,0,1.0,0,377,0.0,0.0,False
571,15.0,7.0,0.4666666666666667,6,0,0,8,2,5.0,0,246,0.0,1.0,False
572,2.0,3.0,1.5,4,0,1,0,0,0.0,0,92,0.0,2.0,True
573,10.0,17.0,1.7,7,0,0,1,1,6.0,0,361,1.0,1.0,False
574,47.0,28.0,0.5957446808510638,6,0,3,5,6,15.0,1,285,2.0,4.0,False
575,39.0,3.0,0.0769230769230769,6,0,0,4,2,2.0,1,231,0.0,0.0,False
576,8.0,92.0,11.5,7,0,2,1,2,7.0,0,362,14.0,7.0,False
577,26.0,131.0,5.038461538461538,12,0,1,2,3,21.0,0,471,24.0,6.0,False
578,6.0,2.0,0.3333333333333333,1,0,0,0,2,0.0,2,109,0.0,1.0,True
580,33.0,62.0,1.878787878787879,4,2,1,3,5,22.0,0,295,5.0,6.0,False
582,40.0,39.0,0.975,7,0,2,1,2,20.0,1,216,5.0,4.0,False
583,33.0,58.0,1.7575757575757576,6,0,0,4,1,17.0,0,234,8.0,0.0,False
584,48.0,44.0,0.9166666666666666,4,0,1,3,2,31.0,0,232,5.0,4.0,False
585,25.0,59.0,2.36,7,0,0,2,4,18.0,0,431,9.0,0.0,False
587,11.0,81.0,7.363636363636363,8,0,0,5,3,6.0,1,345,8.0,16.0,False
589,7.0,55.0,7.857142857142857,7,0,2,2,5,5.0,1,261,5.0,4.0,False
590,6.0,55.0,9.166666666666666,14,0,1,5,0,3.0,0,342,11.0,11.0,False
591,54.0,102.0,1.8888888888888888,14,0,0,2,5,40.0,0,285,18.0,7.0,False
594,25.0,77.0,3.08,5,0,0,8,5,17.0,1,262,11.0,9.0,False
595,43.0,33.0,0.7674418604651163,14,0,0,7,8,18.0,1,376,6.0,6.0,False
596,10.0,2.0,0.2,7,1,0,3,5,1.0,0,282,0.0,0.0,False
597,42.0,24.0,0.5714285714285714,7,0,0,1,6,20.0,0,431,3.0,0.0,False
598,29.0,2.0,0.0689655172413793,12,0,0,6,6,1.0,1,263,0.0,0.0,False
599,24.0,95.0,3.9583333333333335,4,0,2,4,2,13.0,1,361,7.0,0.0,False
601,2.0,2.0,1.0,2,0,0,0,1,2.0,1,177,0.0,1.0,True
602,7.0,64.0,9.142857142857142,13,0,0,6,3,5.0,1,342,8.0,8.0,False
603,5.0,70.0,14.0,3,0,1,1,0,3.0,1,207,6.0,2.0,False
604,26.0,79.0,3.0384615384615383,6,0,4,2,1,13.0,1,364,10.0,0.0,False
605,31.0,39.0,1.2580645161290325,5,0,2,4,1,17.0,1,387,6.0,1.0,False
607,14.0,94.0,6.714285714285714,6,0,1,9,3,8.0,0,174,2.0,19.0,False
609,8.0,47.0,5.875,1,0,0,8,3,0.0,2,194,0.0,27.0,True
610,6.0,55.0,9.166666666666666,2,0,1,3,3,4.0,0,153,6.0,5.0,False
611,18.0,34.0,1.8888888888888888,7,0,2,4,6,11.0,2,114,2.0,3.0,False
613,17.0,46.0,2.7058823529411766,7,0,0,3,5,9.0,1,188,3.0,4.0,False
614,7.0,28.0,4.0,4,0,0,7,6,4.0,1,177,0.0,17.0,True
615,16.0,90.0,5.625,3,0,1,5,6,10.0,0,196,9.0,6.0,False
616,23.0,90.0,3.9130434782608696,6,3,0,4,6,15.0,0,275,5.0,9.0,False
618,47.0,5.0,0.1063829787234042,10,0,2,1,6,4.0,0,302,1.0,0.0,False
619,12.0,102.0,8.5,13,0,0,6,2,7.0,0,308,21.0,13.0,False
621,25.0,2.0,0.08,3,1,0,4,2,1.0,0,278,0.0,0.0,False
622,59.0,71.0,1.2033898305084745,12,0,0,2,7,47.0,0,419,14.0,2.0,False
623,14.0,12.0,0.8571428571428571,1,0,0,7,8,0.0,0,109,0.0,8.0,True
624,4.0,18.0,4.5,1,0,1,0,1,1.0,1,133,0.0,10.0,True
628,16.0,2.0,0.125,7,0,4,5,4,1.0,1,299,0.0,0.0,False
629,58.0,69.0,1.1896551724137931,15,3,4,5,9,37.0,0,265,16.0,17.0,False
630,18.0,32.0,1.7777777777777777,1,0,0,8,10,7.0,2,128,0.0,17.0,True
631,27.0,62.0,2.2962962962962963,5,0,0,5,5,17.0,0,356,0.0,9.0,False
632,19.0,93.0,4.894736842105263,8,0,2,9,5,11.0,1,226,28.0,16.0,False
633,46.0,82.0,1.7826086956521738,5,0,2,1,4,23.0,0,165,12.0,0.0,False
635,38.0,79.0,2.0789473684210527,12,0,3,1,6,29.0,1,439,13.0,1.0,False
636,19.0,75.0,3.947368421052632,2,0,1,5,6,13.0,0,147,7.0,7.0,False
637,14.0,21.0,1.5,4,0,2,9,9,6.0,0,106,0.0,14.0,True
638,55.0,66.0,1.2,12,0,2,2,5,31.0,1,170,8.0,1.0,False
639,3.0,11.0,3.6666666666666665,1,0,0,0,2,0.0,0,87,0.0,6.0,True
640,23.0,86.0,3.739130434782609,4,0,2,2,6,12.0,1,109,9.0,7.0,False
641,22.0,27.0,1.2272727272727273,4,0,2,10,10,7.0,0,161,0.0,18.0,True
642,37.0,40.0,1.0810810810810811,6,0,2,4,2,24.0,0,355,6.0,0.0,False
643,5.0,75.0,15.0,4,0,2,3,3,3.0,1,101,4.0,7.0,False
645,53.0,11.0,0.2075471698113207,8,0,0,2,5,7.0,1,106,1.0,1.0,False
646,21.0,19.0,0.9047619047619048,7,0,1,2,5,11.0,1,120,2.0,2.0,False
648,48.0,42.0,0.875,8,0,0,3,2,23.0,1,325,4.0,1.0,False
649,4.0,66.0,16.5,12,0,1,0,0,3.0,0,215,13.0,6.0,False
650,8.0,42.0,5.25,4,0,0,8,0,1.0,1,71,0.0,23.0,True
652,6.0,24.0,4.0,14,0,0,6,1,3.0,0,367,0.0,4.0,False
654,14.0,6.0,0.4285714285714285,3,0,0,9,8,1.0,0,176,0.0,4.0,True
655,8.0,65.0,8.125,4,0,0,8,8,0.0,0,70,0.0,37.0,True
656,2.0,9.0,4.5,7,0,0,1,4,1.0,1,204,1.0,1.0,False
657,49.0,113.0,2.306122448979592,10,0,2,1,3,32.0,0,335,8.0,0.0,False
658,24.0,87.0,3.625,13,0,3,8,4,15.0,0,378,5.0,13.0,False
660,21.0,44.0,2.095238095238096,5,0,2,3,6,11.0,0,107,3.0,3.0,False
661,53.0,0.0,0.0,6,0,1,10,5,0.0,0,171,0.0,0.0,False
662,10.0,34.0,3.4,2,0,0,3,5,6.0,0,246,3.0,3.0,False
663,32.0,4.0,0.125,3,0,0,1,4,3.0,1,289,0.0,0.0,False
664,44.0,89.0,2.022727272727273,2,0,0,4,6,22.0,1,249,6.0,7.0,False
666,5.0,105.0,21.0,9,0,3,1,0,3.0,1,361,8.0,16.0,False
667,57.0,92.0,1.6140350877192982,7,0,0,5,5,38.0,1,266,10.0,7.0,False
668,19.0,18.0,0.9473684210526316,5,0,1,5,5,11.0,2,144,2.0,2.0,False
669,59.0,27.0,0.4576271186440678,5,0,0,4,5,16.0,1,299,2.0,3.0,False
671,37.0,123.0,3.324324324324324,10,0,3,0,0,29.0,0,460,14.0,0.0,False
672,17.0,8.0,0.4705882352941176,13,3,0,7,3,4.0,1,297,0.0,2.0,False
673,13.0,113.0,8.692307692307692,9,0,0,7,2,7.0,0,223,0.0,27.0,False
674,37.0,70.0,1.891891891891892,6,0,2,2,3,20.0,0,148,4.0,5.0,False
676,14.0,18.0,1.2857142857142858,6,0,0,1,2,7.0,0,379,1.0,1.0,False
678,16.0,57.0,3.5625,5,0,0,3,6,9.0,0,167,4.0,6.0,False
680,30.0,114.0,3.8,14,0,3,8,7,21.0,0,336,25.0,12.0,False
682,5.0,33.0,6.6,10,0,1,2,2,4.0,1,367,6.0,1.0,False
683,14.0,48.0,3.4285714285714284,9,2,1,1,2,11.0,0,428,9.0,2.0,False
684,25.0,27.0,1.08,12,0,0,8,4,13.0,1,226,2.0,4.0,False
686,30.0,52.0,1.7333333333333334,6,0,1,2,3,24.0,0,324,6.0,2.0,False
687,28.0,35.0,1.25,5,0,0,7,5,19.0,2,262,3.0,5.0,False
688,22.0,24.0,1.0909090909090908,1,0,1,8,8,5.0,2,183,0.0,15.0,True
689,27.0,82.0,3.037037037037037,7,0,2,7,6,18.0,1,213,8.0,9.0,False
690,14.0,120.0,8.571428571428571,5,2,0,3,2,9.0,1,222,12.0,2.0,False
692,6.0,9.0,1.5,7,0,2,6,2,3.0,1,174,1.0,2.0,False
694,8.0,10.0,1.25,1,0,0,8,3,0.0,0,175,0.0,6.0,True
695,20.0,69.0,3.45,8,0,4,2,1,13.0,0,374,10.0,1.0,False
696,12.0,1.0,0.0833333333333333,4,0,1,3,4,1.0,0,163,0.0,0.0,False
697,17.0,14.0,0.8235294117647058,5,0,3,6,4,9.0,1,192,1.0,2.0,False
698,16.0,56.0,3.5,5,0,0,3,2,11.0,0,313,3.0,1.0,False
700,34.0,58.0,1.7058823529411764,14,0,0,8,5,24.0,1,327,5.0,8.0,False
702,17.0,21.0,1.2352941176470589,3,0,0,9,8,2.0,2,53,0.0,14.0,True
703,47.0,86.0,1.8297872340425527,14,0,4,6,9,32.0,2,243,0.0,12.0,False
704,13.0,3.0,0.2307692307692307,9,0,3,5,3,2.0,0,362,0.0,0.0,False
705,30.0,58.0,1.9333333333333331,14,0,8,5,5,17.0,1,250,14.0,6.0,False
707,14.0,112.0,8.0,6,0,2,8,3,7.0,0,297,15.0,22.0,False
708,53.0,58.0,1.0943396226415094,7,0,2,2,5,34.0,0,294,5.0,5.0,False
709,4.0,2.0,0.5,1,0,1,0,1,0.0,2,130,0.0,1.0,True
711,18.0,26.0,1.4444444444444444,3,0,0,2,6,10.0,0,222,1.0,2.0,False
713,10.0,45.0,4.5,3,0,1,10,8,3.0,1,125,0.0,23.0,True
714,19.0,18.0,0.9473684210526316,3,0,1,5,5,11.0,0,233,1.0,1.0,False
715,14.0,47.0,3.357142857142857,6,0,0,6,2,8.0,1,256,4.0,7.0,False
716,51.0,47.0,0.9215686274509804,17,0,7,2,5,34.0,1,488,7.0,3.0,False
717,26.0,39.0,1.5,3,0,1,10,8,3.0,1,55,0.0,22.0,True
719,7.0,6.0,0.8571428571428571,14,0,0,6,0,4.0,1,359,0.0,1.0,False
720,11.0,76.0,6.909090909090909,6,0,0,5,2,7.0,2,349,7.0,18.0,False
721,33.0,59.0,1.7878787878787878,6,0,0,5,5,17.0,1,138,3.0,5.0,False
722,49.0,31.0,0.6326530612244898,10,0,2,3,3,20.0,0,184,4.0,2.0,False
723,9.0,98.0,10.88888888888889,11,0,3,8,1,6.0,1,203,23.0,11.0,False
724,10.0,58.0,5.8,11,0,0,8,0,5.0,1,399,2.0,10.0,False
725,18.0,75.0,4.166666666666667,3,0,0,5,5,12.0,1,222,5.0,6.0,False
727,12.0,95.0,7.916666666666667,12,0,1,7,2,8.0,1,222,7.0,21.0,False
729,5.0,33.0,6.6,1,0,1,0,2,0.0,1,179,0.0,20.0,True
732,21.0,8.0,0.3809523809523809,11,0,0,0,0,7.0,0,340,1.0,0.0,False
733,10.0,45.0,4.5,1,0,1,10,1,2.0,0,72,0.0,29.0,True
734,13.0,97.0,7.461538461538462,6,0,0,3,5,7.0,0,259,8.0,8.0,False
737,7.0,12.0,1.7142857142857142,6,0,2,2,5,4.0,1,180,1.0,1.0,False
738,22.0,20.0,0.9090909090909092,2,0,2,8,8,0.0,0,88,0.0,12.0,True
739,12.0,0.0,0.0,7,1,1,0,0,0.0,0,429,0.0,0.0,False
740,14.0,38.0,2.7142857142857144,4,0,1,4,6,9.0,0,257,3.0,4.0,False
741,12.0,22.0,1.8333333333333333,6,0,0,5,2,7.0,0,347,4.0,5.0,False
742,3.0,41.0,13.666666666666666,1,0,1,1,0,2.0,1,354,3.0,2.0,False
743,14.0,19.0,1.3571428571428572,4,0,0,7,8,2.0,2,131,0.0,13.0,True
745,13.0,95.0,7.3076923076923075,8,0,2,5,3,8.0,0,363,2.0,16.0,False
748,41.0,63.0,1.5365853658536586,5,0,2,3,2,25.0,1,172,4.0,2.0,False
749,34.0,64.0,1.8823529411764703,7,0,0,2,2,23.0,0,303,4.0,0.0,False
750,2.0,25.0,12.5,4,0,1,0,2,2.0,0,191,0.0,16.0,True
752,7.0,51.0,7.285714285714286,9,0,2,4,0,4.0,1,301,5.0,0.0,False
753,8.0,47.0,5.875,4,0,2,5,2,5.0,0,115,4.0,4.0,False
754,17.0,41.0,2.411764705882353,4,0,2,2,5,9.0,1,197,5.0,4.0,False
755,7.0,18.0,2.571428571428572,8,0,0,6,1,4.0,1,300,3.0,2.0,False
756,24.0,8.0,0.3333333333333333,13,0,0,5,3,5.0,0,185,1.0,2.0,False
757,20.0,95.0,4.75,6,0,0,3,2,13.0,0,201,6.0,14.0,False
758,9.0,14.0,1.5555555555555556,1,0,0,8,9,1.0,0,68,0.0,9.0,True
759,41.0,8.0,0.1951219512195122,8,0,3,2,6,6.0,0,301,1.0,1.0,False
760,6.0,48.0,8.0,2,0,1,0,2,2.0,0,141,0.0,28.0,True
761,26.0,79.0,3.0384615384615383,5,0,0,3,6,16.0,2,149,9.0,6.0,False
763,6.0,47.0,7.833333333333333,3,1,0,5,1,3.0,0,101,4.0,4.0,False
764,14.0,1.0,0.0714285714285714,11,0,1,6,2,1.0,1,387,0.0,0.0,False
765,14.0,61.0,4.357142857142857,1,1,0,8,8,3.0,1,158,0.0,35.0,True
766,4.0,33.0,8.25,6,0,0,0,0,3.0,1,175,8.0,4.0,False
767,9.0,48.0,5.333333333333333,14,0,0,0,0,8.0,0,490,5.0,4.0,False
768,18.0,107.0,5.944444444444445,4,0,2,3,1,12.0,0,164,11.0,10.0,False
769,3.0,22.0,7.333333333333333,5,0,0,2,0,2.0,0,159,2.0,2.0,False
770,6.0,32.0,5.333333333333333,1,0,0,0,2,2.0,1,116,0.0,21.0,True
772,14.0,1.0,0.0714285714285714,5,0,0,9,3,1.0,1,225,0.0,0.0,False
773,28.0,98.0,3.5,12,0,2,7,7,15.0,0,181,4.0,19.0,False
775,26.0,15.0,0.5769230769230769,6,0,2,2,1,9.0,1,199,1.0,0.0,False
776,55.0,67.0,1.2181818181818185,10,0,1,1,4,41.0,0,251,12.0,0.0,False
777,32.0,92.0,2.875,10,0,0,8,4,18.0,0,326,10.0,16.0,False
778,28.0,37.0,1.3214285714285714,5,0,1,5,6,16.0,0,308,7.0,7.0,False
779,5.0,43.0,8.6,6,0,1,2,1,3.0,0,321,4.0,1.0,False
780,6.0,85.0,14.166666666666666,3,0,1,3,1,4.0,1,272,5.0,7.0,False
781,30.0,21.0,0.7,14,0,4,5,4,11.0,1,326,0.0,5.0,False
782,2.0,44.0,22.0,4,0,1,0,2,0.0,1,84,0.0,23.0,True
783,33.0,95.0,2.878787878787879,8,0,3,1,4,25.0,1,260,10.0,6.0,False
784,32.0,18.0,0.5625,5,0,2,3,1,11.0,1,292,3.0,0.0,False
786,8.0,109.0,13.625,6,0,0,3,4,5.0,1,191,12.0,8.0,False
787,44.0,73.0,1.6590909090909092,9,3,1,2,6,33.0,0,359,10.0,1.0,False
789,15.0,61.0,4.066666666666666,1,0,1,8,9,4.0,1,158,0.0,35.0,True
790,16.0,89.0,5.5625,8,0,0,7,2,9.0,1,290,12.0,13.0,False
791,27.0,58.0,2.1481481481481484,6,0,1,2,7,16.0,0,211,6.0,5.0,False
792,55.0,20.0,0.3636363636363636,13,0,2,0,0,17.0,0,252,2.0,0.0,False
793,31.0,56.0,1.8064516129032255,4,0,1,3,7,21.0,0,157,6.0,5.0,False
794,41.0,21.0,0.5121951219512195,9,0,0,4,4,12.0,2,360,3.0,0.0,False
795,11.0,87.0,7.909090909090909,13,0,0,2,0,8.0,0,471,15.0,1.0,False
796,8.0,16.0,2.0,7,0,2,3,5,5.0,1,124,2.0,2.0,False
797,33.0,79.0,2.393939393939394,5,0,0,2,4,18.0,1,393,6.0,8.0,False
798,11.0,20.0,1.818181818181818,3,0,1,7,9,1.0,0,194,0.0,12.0,True
799,48.0,43.0,0.8958333333333334,4,0,0,3,4,24.0,1,368,2.0,0.0,False
800,7.0,6.0,0.8571428571428571,2,0,1,7,1,0.0,0,173,0.0,3.0,True
801,37.0,31.0,0.8378378378378378,13,0,4,7,8,16.0,0,182,0.0,5.0,False
802,43.0,0.0,0.0,7,0,2,0,0,0.0,0,340,0.0,0.0,False
803,35.0,54.0,1.542857142857143,2,0,0,2,6,21.0,0,136,5.0,4.0,False
804,9.0,59.0,6.555555555555555,13,0,1,5,1,6.0,0,332,0.0,10.0,False
805,28.0,86.0,3.071428571428572,7,0,2,4,3,17.0,1,245,5.0,5.0,False
806,45.0,77.0,1.711111111111111,13,0,0,6,6,28.0,0,186,2.0,18.0,False
807,7.0,54.0,7.714285714285714,12,0,1,1,0,5.0,0,484,6.0,1.0,False
809,9.0,53.0,5.888888888888889,6,0,2,3,4,5.0,0,120,5.0,5.0,False
810,44.0,19.0,0.4318181818181818,7,0,2,5,4,11.0,1,222,2.0,2.0,False
811,5.0,18.0,3.6,2,0,0,0,2,1.0,1,179,0.0,10.0,True
813,8.0,9.0,1.125,8,0,2,2,1,5.0,0,313,1.0,0.0,False
815,13.0,78.0,6.0,5,0,1,6,2,8.0,2,253,7.0,17.0,False
816,16.0,29.0,1.8125,8,0,2,3,2,9.0,1,348,2.0,1.0,False
817,10.0,56.0,5.6,6,0,0,4,5,6.0,0,211,3.0,5.0,False
818,17.0,17.0,1.0,7,0,1,5,4,12.0,0,166,2.0,3.0,False
819,7.0,86.0,12.285714285714286,10,0,1,6,1,4.0,0,205,4.0,10.0,False
821,12.0,19.0,1.5833333333333333,6,0,3,2,3,10.0,0,415,2.0,0.0,False
822,27.0,54.0,2.0,4,0,2,10,8,3.0,2,79,0.0,28.0,True
825,25.0,99.0,3.96,2,2,0,2,7,15.0,1,207,8.0,7.0,False
827,17.0,14.0,0.8235294117647058,8,1,3,1,1,9.0,2,159,1.0,0.0,False
828,4.0,59.0,14.75,14,0,0,0,0,3.0,0,257,0.0,9.0,False
829,25.0,35.0,1.4,4,0,0,10,9,0.0,1,86,0.0,23.0,True
830,8.0,31.0,3.875,6,0,0,6,2,5.0,0,305,3.0,5.0,False
831,45.0,22.0,0.4888888888888889,10,0,0,3,2,13.0,2,217,3.0,0.0,False
833,30.0,47.0,1.5666666666666669,4,0,2,10,12,9.0,1,56,0.0,31.0,True
834,2.0,8.0,4.0,0,0,0,0,0,1.0,1,266,1.0,1.0,False
835,2.0,26.0,13.0,5,0,1,1,2,1.0,1,285,2.0,2.0,False
836,32.0,47.0,1.46875,5,0,1,9,4,18.0,1,311,4.0,8.0,False
837,29.0,4.0,0.1379310344827586,9,0,0,3,2,3.0,0,353,0.0,0.0,False
838,31.0,42.0,1.3548387096774193,3,0,0,4,3,20.0,0,229,6.0,4.0,False
839,12.0,34.0,2.833333333333333,3,0,1,4,5,8.0,0,284,4.0,3.0,False
