,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
34,20.0,95.0,4.75,6,0,0,3,2,13.0,0,201,6.0,14.0,False
35,9.0,14.0,1.5555555555555556,1,0,0,8,9,1.0,0,68,0.0,9.0,True
36,41.0,8.0,0.1951219512195122,8,0,3,2,6,6.0,0,301,1.0,1.0,False
37,6.0,48.0,8.0,2,0,1,0,2,2.0,0,141,0.0,28.0,True
38,26.0,79.0,3.0384615384615383,5,0,0,3,6,16.0,2,149,9.0,6.0,False
39,11.0,169.0,15.363636363636363,13,0,4,8,1,6.0,2,291,10.0,28.0,False
40,6.0,47.0,7.833333333333333,3,1,0,5,1,3.0,0,101,4.0,4.0,False
41,14.0,1.0,0.07142857142857142,11,0,1,6,2,1.0,1,387,0.0,0.0,False
42,14.0,61.0,4.357142857142857,1,1,0,8,8,3.0,1,158,0.0,35.0,True
43,4.0,33.0,8.25,6,0,0,0,0,3.0,1,175,8.0,4.0,False
44,9.0,48.0,5.333333333333333,14,0,0,0,0,8.0,0,490,5.0,4.0,False
45,18.0,107.0,5.944444444444445,4,0,2,3,1,12.0,0,164,11.0,10.0,False
46,3.0,22.0,7.333333333333333,5,0,0,2,0,2.0,0,159,2.0,2.0,False
47,6.0,32.0,5.333333333333333,1,0,0,0,2,2.0,1,116,0.0,21.0,True
48,3.0,120.0,40.0,14,0,2,0,0,2.0,0,269,14.0,4.0,False
49,14.0,1.0,0.07142857142857142,5,0,0,9,3,1.0,1,225,0.0,0.0,False
50,28.0,98.0,3.5,12,0,2,7,7,15.0,0,181,4.0,19.0,False
51,85.0,52.0,0.611764705882353,25,0,0,16,7,28.0,0,247,3.0,11.0,False
52,26.0,15.0,0.5769230769230769,6,0,2,2,1,9.0,1,199,1.0,0.0,False
53,55.0,67.0,1.2181818181818183,10,0,1,1,4,41.0,0,251,12.0,0.0,False
54,32.0,92.0,2.875,10,0,0,8,4,18.0,0,326,10.0,16.0,False
55,28.0,37.0,1.3214285714285714,5,0,1,5,6,16.0,0,308,7.0,7.0,False
56,5.0,43.0,8.6,6,0,1,2,1,3.0,0,321,4.0,1.0,False
57,6.0,85.0,14.166666666666666,3,0,1,3,1,4.0,1,272,5.0,7.0,False
58,30.0,21.0,0.7,14,0,4,5,4,11.0,1,326,0.0,5.0,False
59,2.0,44.0,22.0,4,0,1,0,2,0.0,1,84,0.0,23.0,True
60,33.0,95.0,2.878787878787879,8,0,3,1,4,25.0,1,260,10.0,6.0,False
61,32.0,18.0,0.5625,5,0,2,3,1,11.0,1,292,3.0,0.0,False
62,4.0,95.0,23.75,2,0,1,0,1,0.0,0,197,0.0,62.0,True
63,8.0,109.0,13.625,6,0,0,3,4,5.0,1,191,12.0,8.0,False
64,44.0,73.0,1.6590909090909092,9,3,1,2,6,33.0,0,359,10.0,1.0,False
65,1.0,67.0,67.0,1,0,0,0,2,0.0,1,192,0.0,37.0,True
66,15.0,61.0,4.066666666666666,1,0,1,8,9,4.0,1,158,0.0,35.0,True
67,16.0,89.0,5.5625,8,0,0,7,2,9.0,1,290,12.0,13.0,False
69,27.0,58.0,2.1481481481481484,6,0,1,2,7,16.0,0,211,6.0,5.0,False
70,55.0,20.0,0.36363636363636365,13,0,2,0,0,17.0,0,252,2.0,0.0,False
71,31.0,56.0,1.8064516129032258,4,0,1,3,7,21.0,0,157,6.0,5.0,False
72,41.0,21.0,0.5121951219512195,9,0,0,4,4,12.0,2,360,3.0,0.0,False
73,11.0,87.0,7.909090909090909,13,0,0,2,0,8.0,0,471,15.0,1.0,False
74,8.0,16.0,2.0,7,0,2,3,5,5.0,1,124,2.0,2.0,False
75,33.0,79.0,2.393939393939394,5,0,0,2,4,18.0,1,393,6.0,8.0,False
76,11.0,20.0,1.8181818181818181,3,0,1,7,9,1.0,0,194,0.0,12.0,True
77,48.0,43.0,0.8958333333333334,4,0,0,3,4,24.0,1,368,2.0,0.0,False
78,7.0,6.0,0.8571428571428571,2,0,1,7,1,0.0,0,173,0.0,3.0,True
79,37.0,31.0,0.8378378378378378,13,0,4,7,8,16.0,0,182,0.0,5.0,False
80,43.0,0.0,0.0,7,0,2,0,0,0.0,0,340,0.0,0.0,False
81,35.0,54.0,1.542857142857143,2,0,0,2,6,21.0,0,136,5.0,4.0,False
82,9.0,59.0,6.555555555555555,13,0,1,5,1,6.0,0,332,0.0,10.0,False
83,28.0,86.0,3.0714285714285716,7,0,2,4,3,17.0,1,245,5.0,5.0,False
84,45.0,77.0,1.711111111111111,13,0,0,6,6,28.0,0,186,2.0,18.0,False
85,7.0,54.0,7.714285714285714,12,0,1,1,0,5.0,0,484,6.0,1.0,False
86,7.0,99.0,14.142857142857142,1,0,0,7,0,2.0,1,113,0.0,66.0,True
87,9.0,53.0,5.888888888888889,6,0,2,3,4,5.0,0,120,5.0,5.0,False
88,44.0,19.0,0.4318181818181818,7,0,2,5,4,11.0,1,222,2.0,2.0,False
89,5.0,18.0,3.6,2,0,0,0,2,1.0,1,179,0.0,10.0,True
90,12.0,125.0,10.416666666666666,2,0,0,8,9,4.0,1,67,0.0,64.0,True
91,8.0,9.0,1.125,8,0,2,2,1,5.0,0,313,1.0,0.0,False
92,7.0,139.0,19.857142857142858,1,1,1,7,7,1.0,0,127,0.0,80.0,True
93,13.0,78.0,6.0,5,0,1,6,2,8.0,2,253,7.0,17.0,False
94,16.0,29.0,1.8125,8,0,2,3,2,9.0,1,348,2.0,1.0,False
95,10.0,56.0,5.6,6,0,0,4,5,6.0,0,211,3.0,5.0,False
96,17.0,17.0,1.0,7,0,1,5,4,12.0,0,166,2.0,3.0,False
97,7.0,86.0,12.285714285714286,10,0,1,6,1,4.0,0,205,4.0,10.0,False
98,1.0,35.0,35.0,0,0,0,0,0,1.0,1,362,3.0,3.0,False
99,12.0,19.0,1.5833333333333333,6,0,3,2,3,10.0,0,415,2.0,0.0,False
100,27.0,54.0,2.0,4,0,2,10,8,3.0,2,79,0.0,28.0,True
101,6.0,114.0,19.0,2,0,1,0,2,3.0,2,80,0.0,59.0,True
102,16.0,79.0,4.9375,4,0,1,7,9,4.0,1,132,0.0,43.0,True
103,25.0,99.0,3.96,2,2,0,2,7,15.0,1,207,8.0,7.0,False
104,4.0,176.0,44.0,7,0,0,0,1,2.0,1,307,35.0,32.0,False
105,17.0,14.0,0.8235294117647058,8,1,3,1,1,9.0,2,159,1.0,0.0,False
106,4.0,59.0,14.75,14,0,0,0,0,3.0,0,257,0.0,9.0,False
107,25.0,35.0,1.4,4,0,0,10,9,0.0,1,86,0.0,23.0,True
108,8.0,31.0,3.875,6,0,0,6,2,5.0,0,305,3.0,5.0,False
109,45.0,22.0,0.4888888888888889,10,0,0,3,2,13.0,2,217,3.0,0.0,False
110,1.0,26.0,26.0,0,0,0,0,1,1.0,0,176,3.0,3.0,False
111,30.0,47.0,1.5666666666666667,4,0,2,10,12,9.0,1,56,0.0,31.0,True
112,2.0,8.0,4.0,0,0,0,0,0,1.0,1,266,1.0,1.0,False
113,2.0,26.0,13.0,5,0,1,1,2,1.0,1,285,2.0,2.0,False
114,32.0,47.0,1.46875,5,0,1,9,4,18.0,1,311,4.0,8.0,False
115,29.0,4.0,0.13793103448275862,9,0,0,3,2,3.0,0,353,0.0,0.0,False
116,31.0,42.0,1.3548387096774193,3,0,0,4,3,20.0,0,229,6.0,4.0,False
117,12.0,34.0,2.8333333333333335,3,0,1,4,5,8.0,0,284,4.0,3.0,False
118,27.0,28.0,1.037037037037037,9,0,0,1,2,14.0,1,185,3.0,0.0,False
119,1.0,24.0,24.0,10,3,2,0,1,1.0,0,178,0.0,5.0,False
120,1.0,41.0,41.0,2,0,0,0,2,0.0,1,111,0.0,24.0,True
121,19.0,33.0,1.736842105263158,6,0,2,3,5,10.0,0,213,3.0,3.0,False
122,17.0,51.0,3.0,2,0,0,2,5,9.0,0,228,6.0,4.0,False
123,49.0,15.0,0.30612244897959184,13,0,2,0,0,13.0,0,379,2.0,0.0,False
124,53.0,64.0,1.2075471698113207,8,0,3,0,2,46.0,0,229,9.0,2.0,False
125,15.0,20.0,1.3333333333333333,3,0,0,7,9,0.0,0,110,0.0,11.0,True
126,50.0,14.0,0.28,7,0,0,2,4,9.0,0,281,1.0,1.0,False
127,9.0,74.0,8.222222222222221,14,0,1,5,2,6.0,1,293,0.0,11.0,False
128,19.0,61.0,3.210526315789474,6,0,0,1,4,14.0,1,239,7.0,1.0,False
129,25.0,58.0,2.32,6,0,0,4,5,14.0,2,109,4.0,5.0,False
130,1.0,41.0,41.0,6,0,0,0,1,1.0,0,288,3.0,3.0,False
131,4.0,51.0,12.75,4,0,2,0,2,0.0,2,129,0.0,30.0,True
132,13.0,137.0,10.538461538461538,14,4,6,6,3,8.0,0,371,37.0,25.0,False
133,10.0,34.0,3.4,4,0,1,8,9,4.0,2,93,0.0,19.0,True
134,57.0,13.0,0.22807017543859648,8,0,0,2,5,8.0,1,292,2.0,0.0,False
135,14.0,9.0,0.6428571428571429,7,0,0,2,6,6.0,0,250,1.0,1.0,False
136,63.0,8.0,0.12698412698412698,10,0,0,2,6,6.0,1,365,1.0,0.0,False
138,52.0,152.0,2.923076923076923,3,1,0,3,2,33.0,1,192,20.0,4.0,False
141,1.0,50.0,50.0,2,0,1,0,0,0.0,1,135,1.0,27.0,True
142,12.0,67.0,5.583333333333333,3,1,0,9,6,4.0,0,118,0.0,46.0,True
143,1.0,26.0,26.0,2,0,0,0,0,0.0,0,149,0.0,18.0,True
144,8.0,75.0,9.375,1,1,0,8,4,1.0,1,181,0.0,38.0,True
145,44.0,2.0,0.045454545454545456,7,0,0,7,5,1.0,0,283,0.0,0.0,False
146,2.0,149.0,74.5,5,0,1,0,2,1.0,1,353,5.0,20.0,False
147,17.0,53.0,3.1176470588235294,6,0,1,5,5,9.0,1,113,4.0,4.0,False
148,17.0,26.0,1.5294117647058822,8,0,0,1,2,15.0,0,272,5.0,1.0,False
149,7.0,31.0,4.428571428571429,5,0,2,5,4,5.0,0,164,3.0,2.0,False
150,35.0,76.0,2.1714285714285713,12,0,0,0,0,25.0,0,484,10.0,4.0,False
151,78.0,92.0,1.1794871794871795,9,0,0,2,11,64.0,0,279,16.0,2.0,False
152,12.0,96.0,8.0,1,0,1,10,6,1.0,0,103,0.0,56.0,True
153,6.0,24.0,4.0,11,1,1,6,2,4.0,0,220,0.0,4.0,False
154,6.0,68.0,11.333333333333334,7,0,2,5,1,3.0,1,109,6.0,5.0,False
155,44.0,7.0,0.1590909090909091,12,0,0,0,0,5.0,0,428,1.0,0.0,False
156,9.0,10.0,1.1111111111111112,3,1,0,4,5,5.0,1,170,1.0,1.0,False
158,43.0,90.0,2.0930232558139537,7,0,2,9,7,25.0,1,158,23.0,19.0,False
159,26.0,41.0,1.5769230769230769,5,0,0,2,6,22.0,0,490,5.0,0.0,False
160,8.0,21.0,2.625,13,0,0,2,0,7.0,1,208,3.0,0.0,False
161,14.0,52.0,3.7142857142857144,2,0,0,3,5,10.0,0,194,6.0,4.0,False
162,15.0,16.0,1.0666666666666667,2,0,1,7,9,0.0,1,196,0.0,11.0,True
163,13.0,63.0,4.846153846153846,2,0,0,8,8,0.0,0,125,0.0,41.0,True
164,7.0,90.0,12.857142857142858,9,0,2,6,1,4.0,1,161,19.0,19.0,False
165,1.0,63.0,63.0,1,0,0,0,1,1.0,0,376,8.0,8.0,False
166,53.0,177.0,3.339622641509434,10,0,2,3,4,38.0,0,279,32.0,0.0,False
167,19.0,103.0,5.421052631578948,4,0,0,10,8,4.0,1,144,0.0,54.0,True
168,4.0,39.0,9.75,3,0,1,0,1,2.0,2,189,0.0,22.0,True
169,8.0,4.0,0.5,7,0,0,4,4,2.0,1,236,0.0,0.0,False
170,21.0,58.0,2.761904761904762,3,0,0,4,6,14.0,0,120,7.0,5.0,False
171,11.0,104.0,9.454545454545455,6,0,0,8,3,6.0,0,297,9.0,25.0,False
172,5.0,49.0,9.8,6,0,1,3,1,3.0,0,252,4.0,0.0,False
173,22.0,46.0,2.090909090909091,2,0,1,9,10,3.0,1,168,0.0,28.0,True
174,10.0,56.0,5.6,3,0,1,5,4,5.0,0,269,6.0,6.0,False
175,30.0,107.0,3.566666666666667,4,0,0,2,1,20.0,0,185,15.0,9.0,False
176,5.0,47.0,9.4,3,0,1,0,2,0.0,0,132,0.0,28.0,True
177,4.0,13.0,3.25,3,0,1,3,3,2.0,1,262,1.0,1.0,False
178,2.0,45.0,22.5,5,0,1,0,1,1.0,1,190,1.0,11.0,False
179,54.0,27.0,0.5,7,0,2,0,2,21.0,0,313,4.0,1.0,False
180,25.0,31.0,1.24,7,0,0,1,3,16.0,1,243,2.0,2.0,False
181,15.0,18.0,1.2,10,0,1,2,3,13.0,0,399,2.0,1.0,False
182,34.0,43.0,1.2647058823529411,5,0,0,8,5,18.0,1,225,1.0,9.0,False
183,7.0,91.0,13.0,5,0,2,4,0,4.0,0,314,8.0,4.0,False
185,11.0,56.0,5.090909090909091,4,0,3,9,8,1.0,0,146,0.0,35.0,True
187,9.0,210.0,23.333333333333332,6,0,0,8,2,6.0,0,198,40.0,42.0,False
188,37.0,10.0,0.2702702702702703,14,0,0,1,5,8.0,0,236,1.0,0.0,False
189,45.0,108.0,2.4,5,0,0,1,4,33.0,0,214,21.0,6.0,False
190,69.0,104.0,1.5072463768115942,13,0,2,13,12,42.0,0,236,3.0,11.0,False
191,6.0,4.0,0.6666666666666666,9,4,0,1,0,3.0,1,152,0.0,0.0,False
192,5.0,60.0,12.0,3,0,0,0,2,1.0,2,59,0.0,39.0,True
193,13.0,61.0,4.6923076923076925,3,0,0,2,2,8.0,0,321,4.0,2.0,False
194,6.0,11.0,1.8333333333333333,3,1,1,3,1,3.0,1,385,1.0,0.0,False
195,1.0,112.0,112.0,4,0,0,0,1,0.0,1,167,0.0,70.0,True
196,15.0,3.0,0.2,4,0,0,3,5,2.0,0,262,0.0,0.0,False
197,3.0,12.0,4.0,4,0,0,0,1,2.0,1,220,1.0,2.0,False
198,44.0,42.0,0.9545454545454546,12,0,0,0,0,29.0,0,274,5.0,0.0,False
199,34.0,55.0,1.6176470588235294,13,0,1,0,0,27.0,0,368,8.0,5.0,False
200,4.0,97.0,24.25,9,0,1,0,0,3.0,0,316,12.0,2.0,False
201,29.0,25.0,0.8620689655172413,8,0,0,2,4,18.0,0,440,4.0,1.0,False
203,19.0,51.0,2.6842105263157894,3,0,0,4,1,11.0,0,303,4.0,2.0,False
204,14.0,67.0,4.785714285714286,12,1,2,8,2,9.0,0,353,14.0,15.0,False
205,9.0,4.0,0.4444444444444444,2,0,1,8,2,0.0,2,53,0.0,2.0,True
206,50.0,55.0,1.1,4,0,2,8,12,16.0,0,152,0.0,30.0,True
207,13.0,29.0,2.230769230769231,3,0,0,10,5,0.0,1,55,0.0,18.0,True
208,17.0,85.0,5.0,7,0,0,8,2,11.0,0,282,5.0,16.0,False
209,10.0,58.0,5.8,2,0,0,8,5,3.0,1,148,1.0,36.0,True
210,6.0,64.0,10.666666666666666,9,0,3,5,2,4.0,0,324,0.0,10.0,False
211,30.0,134.0,4.466666666666667,6,1,0,4,6,18.0,2,116,15.0,11.0,False
212,8.0,97.0,12.125,2,0,1,8,4,0.0,0,166,0.0,66.0,True
213,14.0,92.0,6.571428571428571,4,0,0,1,1,10.0,1,209,11.0,6.0,False
214,5.0,63.0,12.6,8,2,1,3,0,3.0,2,304,7.0,7.0,False
215,27.0,64.0,2.3703703703703702,10,0,1,5,5,16.0,1,215,1.0,16.0,False
216,23.0,35.0,1.5217391304347827,6,0,0,3,3,16.0,1,347,3.0,0.0,False
218,5.0,97.0,19.4,3,0,0,0,2,1.0,1,67,0.0,54.0,True
219,32.0,44.0,1.375,12,0,0,7,4,19.0,1,338,1.0,10.0,False
220,8.0,93.0,11.625,6,0,0,5,4,5.0,0,267,7.0,8.0,False
222,14.0,70.0,5.0,14,0,0,5,2,9.0,0,158,2.0,13.0,False
223,37.0,21.0,0.5675675675675675,4,0,2,4,4,13.0,0,314,1.0,1.0,False
224,28.0,25.0,0.8928571428571429,7,0,0,1,1,14.0,1,304,2.0,0.0,False
225,40.0,27.0,0.675,6,0,0,1,4,22.0,0,354,5.0,0.0,False
226,5.0,0.0,0.0,5,0,0,3,0,0.0,1,367,0.0,0.0,False
227,14.0,2.0,0.14285714285714285,7,2,1,3,2,1.0,0,229,0.0,0.0,False
228,15.0,4.0,0.26666666666666666,5,0,1,1,1,2.0,0,241,1.0,0.0,False
229,60.0,5.0,0.08333333333333333,12,1,0,1,9,4.0,0,294,1.0,0.0,False
230,46.0,24.0,0.5217391304347826,5,0,0,2,6,17.0,1,381,3.0,0.0,False
231,9.0,84.0,9.333333333333334,2,0,1,8,1,1.0,1,179,0.0,44.0,True
232,87.0,37.0,0.42528735632183906,20,0,0,4,7,22.0,0,150,5.0,0.0,False
233,9.0,65.0,7.222222222222222,10,0,3,5,2,6.0,0,269,4.0,15.0,False
234,8.0,3.0,0.375,4,0,0,3,4,2.0,1,272,0.0,0.0,False
235,19.0,114.0,6.0,3,0,1,3,5,10.0,0,165,9.0,11.0,False
236,147.0,12.0,0.08163265306122448,29,0,0,6,12,8.0,0,401,2.0,1.0,False
237,7.0,28.0,4.0,5,0,1,5,0,4.0,1,274,4.0,5.0,False
238,10.0,55.0,5.5,3,0,0,8,5,2.0,0,168,0.0,31.0,True
239,1.0,16.0,16.0,13,0,0,0,1,1.0,1,196,1.0,2.0,False
240,7.0,78.0,11.142857142857142,2,0,1,5,2,5.0,1,290,5.0,6.0,False
241,12.0,9.0,0.75,4,0,2,7,8,0.0,0,108,0.0,5.0,True
242,24.0,17.0,0.7083333333333334,5,0,0,8,5,11.0,0,233,2.0,4.0,False
243,26.0,88.0,3.3846153846153846,3,0,2,1,3,17.0,0,171,7.0,12.0,False
244,6.0,73.0,12.166666666666666,4,0,3,4,1,3.0,0,159,9.0,1.0,False
245,42.0,41.0,0.9761904761904762,11,2,0,5,8,27.0,0,374,7.0,8.0,False
246,5.0,82.0,16.4,14,0,0,5,1,3.0,1,221,0.0,16.0,False
247,5.0,71.0,14.2,2,0,0,2,5,3.0,0,202,8.0,7.0,False
248,1.0,64.0,64.0,6,0,0,0,0,1.0,1,405,11.0,4.0,False
249,15.0,45.0,3.0,3,0,1,1,1,8.0,1,152,5.0,7.0,False
250,32.0,111.0,3.46875,7,0,2,0,0,24.0,0,479,20.0,3.0,False
251,15.0,12.0,0.8,6,2,0,1,2,7.0,0,236,1.0,0.0,False
252,1.0,71.0,71.0,10,0,2,0,0,1.0,0,369,0.0,10.0,False
253,36.0,38.0,1.0555555555555556,11,0,0,0,0,28.0,0,329,4.0,3.0,False
254,73.0,119.0,1.63013698630137,25,0,0,0,2,60.0,0,277,22.0,7.0,False
255,24.0,39.0,1.625,5,0,0,1,3,15.0,2,193,2.0,0.0,False
256,16.0,1.0,0.0625,5,0,0,8,2,1.0,1,305,0.0,0.0,False
257,3.0,0.0,0.0,14,0,1,0,2,0.0,1,301,0.0,0.0,False
258,144.0,13.0,0.09027777777777778,20,2,0,0,2,10.0,1,331,1.0,0.0,False
259,15.0,3.0,0.2,2,1,0,3,6,2.0,1,134,0.0,0.0,False
260,16.0,39.0,2.4375,3,0,1,9,9,2.0,0,198,0.0,22.0,True
261,48.0,7.0,0.14583333333333334,16,0,0,1,6,6.0,0,455,1.0,0.0,False
262,37.0,53.0,1.4324324324324325,2,0,1,5,3,24.0,2,173,3.0,4.0,False
263,25.0,46.0,1.84,7,0,0,2,3,13.0,1,282,3.0,2.0,False
264,14.0,88.0,6.285714285714286,12,0,4,9,2,8.0,0,211,12.0,12.0,False
265,15.0,18.0,1.2,2,0,0,9,9,3.0,0,95,0.0,9.0,True
266,2.0,34.0,17.0,2,0,1,0,0,0.0,1,175,0.0,20.0,True
267,9.0,69.0,7.666666666666667,9,0,0,1,0,5.0,1,352,7.0,1.0,False
268,4.0,49.0,12.25,2,0,0,1,4,3.0,1,181,6.0,4.0,False
269,13.0,83.0,6.384615384615385,11,0,0,0,0,11.0,0,348,15.0,8.0,False
270,3.0,53.0,17.666666666666668,2,0,1,0,1,0.0,0,183,0.0,29.0,True
271,3.0,41.0,13.666666666666666,4,0,2,0,1,1.0,0,74,0.0,27.0,True
272,51.0,33.0,0.6470588235294118,13,0,3,5,9,21.0,0,258,2.0,5.0,False
273,6.0,83.0,13.833333333333334,13,0,6,6,3,4.0,1,232,14.0,13.0,False
274,3.0,17.0,5.666666666666667,7,0,0,2,1,2.0,0,210,2.0,1.0,False
275,3.0,56.0,18.666666666666668,0,0,0,0,1,0.0,0,69,0.0,35.0,True
276,39.0,119.0,3.051282051282051,2,0,1,8,12,7.0,1,180,0.0,61.0,True
278,2.0,42.0,21.0,4,0,0,0,1,0.0,2,186,0.0,23.0,True
279,10.0,171.0,17.1,6,0,4,4,4,5.0,1,106,20.0,17.0,False
280,24.0,35.0,1.4583333333333333,4,0,0,3,7,14.0,0,297,3.0,3.0,False
281,58.0,3.0,0.05172413793103448,12,0,0,2,5,2.0,0,358,0.0,0.0,False
282,37.0,101.0,2.72972972972973,5,0,2,4,6,22.0,0,269,11.0,7.0,False
283,14.0,26.0,1.8571428571428572,7,0,0,9,2,8.0,1,340,0.0,5.0,False
284,29.0,52.0,1.793103448275862,9,0,2,9,5,18.0,0,177,7.0,11.0,False
285,11.0,5.0,0.45454545454545453,10,0,1,0,0,4.0,1,207,1.0,0.0,False
286,3.0,30.0,10.0,8,0,0,1,0,2.0,0,274,4.0,0.0,False
287,5.0,17.0,3.4,3,1,1,0,2,1.0,0,62,0.0,9.0,True
288,1.0,28.0,28.0,3,1,0,0,0,1.0,1,202,3.0,1.0,False
289,6.0,1.0,0.16666666666666666,6,0,1,5,3,1.0,1,163,0.0,0.0,False
290,20.0,66.0,3.3,1,0,0,7,9,2.0,1,151,0.0,33.0,True
291,29.0,1.0,0.034482758620689655,3,0,0,3,6,1.0,2,189,0.0,0.0,False
293,6.0,90.0,15.0,4,0,2,0,2,0.0,1,194,0.0,55.0,True
294,16.0,43.0,2.6875,4,0,1,3,5,10.0,1,158,3.0,3.0,False
295,63.0,8.0,0.12698412698412698,12,0,0,8,8,5.0,1,191,1.0,2.0,False
296,5.0,24.0,4.8,9,0,0,4,0,3.0,1,350,2.0,1.0,False
297,11.0,33.0,3.0,4,0,0,3,4,7.0,0,295,4.0,3.0,False
298,42.0,237.0,5.642857142857143,9,0,0,2,2,25.0,0,262,34.0,0.0,False
299,11.0,115.0,10.454545454545455,7,0,0,4,1,8.0,0,276,10.0,1.0,False
300,12.0,30.0,2.5,6,0,0,9,3,8.0,1,234,7.0,6.0,False
301,46.0,63.0,1.3695652173913044,8,0,0,2,3,32.0,0,272,8.0,0.0,False
302,28.0,31.0,1.1071428571428572,9,0,2,3,3,15.0,1,270,4.0,1.0,False
303,7.0,51.0,7.285714285714286,10,0,1,7,2,4.0,0,224,6.0,6.0,False
304,7.0,97.0,13.857142857142858,5,0,1,1,1,6.0,0,426,15.0,3.0,False
305,21.0,91.0,4.333333333333333,9,0,0,5,4,14.0,0,286,9.0,19.0,False
306,6.0,20.0,3.3333333333333335,9,0,3,3,1,3.0,1,356,1.0,1.0,False
307,33.0,91.0,2.757575757575758,11,0,0,6,5,18.0,0,231,9.0,16.0,False
308,78.0,44.0,0.5641025641025641,10,0,1,0,1,32.0,0,497,6.0,3.0,False
309,83.0,10.0,0.12048192771084337,29,6,0,10,8,6.0,1,234,0.0,1.0,False
310,16.0,96.0,6.0,3,0,1,2,5,8.0,0,188,5.0,8.0,False
311,29.0,91.0,3.1379310344827585,6,0,0,2,3,20.0,2,165,12.0,1.0,False
312,40.0,44.0,1.1,6,0,0,1,6,30.0,0,303,9.0,3.0,False
313,4.0,24.0,6.0,4,0,0,1,3,2.0,1,108,2.0,2.0,False
314,36.0,116.0,3.2222222222222223,5,0,0,5,6,21.0,0,113,13.0,9.0,False
315,18.0,42.0,2.3333333333333335,3,0,0,5,6,11.0,0,121,2.0,4.0,False
316,6.0,7.0,1.1666666666666667,4,0,0,0,2,2.0,1,158,0.0,4.0,True
318,69.0,24.0,0.34782608695652173,13,0,0,2,9,21.0,0,325,3.0,1.0,False
319,1.0,83.0,83.0,4,0,2,0,2,0.0,0,130,0.0,51.0,True
320,3.0,29.0,9.666666666666666,4,0,0,0,1,0.0,0,59,0.0,16.0,True
321,26.0,119.0,4.576923076923077,7,0,0,5,6,15.0,0,101,7.0,9.0,False
322,24.0,10.0,0.4166666666666667,6,0,2,2,5,6.0,0,218,1.0,1.0,False
323,27.0,1.0,0.037037037037037035,12,0,2,6,5,1.0,0,216,0.0,0.0,False
324,17.0,62.0,3.6470588235294117,6,2,4,5,5,10.0,0,129,6.0,6.0,False
326,25.0,30.0,1.2,13,0,2,7,4,14.0,0,302,6.0,4.0,False
327,56.0,3.0,0.05357142857142857,20,0,2,2,5,3.0,0,495,1.0,0.0,False
328,9.0,17.0,1.8888888888888888,5,0,2,1,2,6.0,0,256,3.0,0.0,False
329,57.0,49.0,0.8596491228070176,13,0,0,3,4,38.0,0,405,5.0,2.0,False
330,12.0,41.0,3.4166666666666665,4,0,0,9,8,1.0,1,80,0.0,22.0,True
331,24.0,30.0,1.25,5,0,0,4,2,15.0,0,271,3.0,0.0,False
332,83.0,55.0,0.6626506024096386,10,0,2,7,7,35.0,0,225,6.0,1.0,False
333,16.0,79.0,4.9375,4,0,0,7,8,2.0,1,177,0.0,41.0,True
334,5.0,19.0,3.8,7,0,2,5,1,3.0,0,215,3.0,4.0,False
335,25.0,6.0,0.24,4,0,1,3,1,4.0,1,272,1.0,0.0,False
336,34.0,16.0,0.47058823529411764,13,0,0,0,0,12.0,1,329,2.0,0.0,False
337,15.0,34.0,2.2666666666666666,2,0,0,10,9,1.0,0,53,0.0,23.0,True
338,3.0,25.0,8.333333333333334,1,0,0,2,2,2.0,0,290,2.0,2.0,False
339,11.0,43.0,3.909090909090909,9,0,1,4,0,7.0,0,350,4.0,4.0,False
340,9.0,25.0,2.7777777777777777,2,0,0,8,2,0.0,2,75,0.0,15.0,True
341,137.0,47.0,0.34306569343065696,36,8,0,0,2,40.0,0,407,7.0,3.0,False
342,6.0,81.0,13.5,4,0,0,4,2,3.0,0,162,8.0,7.0,False
343,7.0,92.0,13.142857142857142,13,0,2,6,1,5.0,0,156,6.0,21.0,False
344,36.0,99.0,2.75,12,0,3,7,4,21.0,1,303,0.0,24.0,False
345,15.0,44.0,2.933333333333333,2,0,0,4,6,8.0,0,173,4.0,4.0,False
346,19.0,44.0,2.3157894736842106,6,0,0,7,5,13.0,1,380,3.0,6.0,False
347,16.0,12.0,0.75,10,0,0,5,3,7.0,1,245,0.0,3.0,False
348,47.0,15.0,0.3191489361702128,9,0,1,3,3,8.0,2,224,2.0,0.0,False
349,8.0,144.0,18.0,1,1,1,8,5,1.0,0,138,1.0,76.0,True
350,14.0,3.0,0.21428571428571427,6,0,1,3,5,2.0,0,154,0.0,0.0,False
351,28.0,90.0,3.2142857142857144,12,2,2,2,5,24.0,0,235,18.0,0.0,False
352,22.0,71.0,3.227272727272727,5,2,0,1,1,15.0,1,237,5.0,1.0,False
353,10.0,62.0,6.2,3,0,0,7,9,0.0,0,99,0.0,40.0,True
354,4.0,9.0,2.25,3,0,0,1,0,2.0,0,198,1.0,0.0,False
